year,gdp_at_constant_mill_rs,gdp_growth_percent,gdp_nominal_mill_rs,gdp_nominal_growth_percent,gdp_usd,cpi,exchange_rate,m2,oil_price,food_price,exports_goods_mill_rs,imports_goods_mill_rs,trade_balance_goods_mill_rs,remittances_mill_rs,current_account_balance_mill_rs,cad_percent_gdp,investment_mill_rs,investment_percent_gdp,total_gfcf_current_mill_rs,general_gfcf_current_mill_rs,growth_ggfc_percent,private_gfcf_current_mill_rs,total_gfcf_constant_mill_rs,general_gfcf_constant_mill_rs,private_gfcf_constant_mill_rs,gg_final_consumption_current_mill_rs,growth_final_consumption_percent,current_expenditure_mill_rs,development_expenditure_mill_rs,total_expenditure_mill_rs,fiscal_balance_mill_rs,fiscal_deficit_percent
FY2007,22838183.383626983,5.110655805429176,11165234.33963877,15.235347128633325,184.15362592180057,41.81348321,60.63,4065155,84.01636636294103,77.70128624,17301.3,26873.4,-9572.1,5490.97,-6878,-3.734925102,1957928.3729070376,17.535936222637158,1767002.8656992146,267171.5133200656,34.18947892,1344761.208127626,4069238.371256791,634660.3041510785,3092555.5155620934,1161462.7059456103,3.619780467108269,1375345,433658,1809003,-377501,-3.38103965
FY2008,23853320.04026874,4.444909823123333,12647136.76080171,13.272470385166013,202.19243422544702,46.83094401,62.55,4689143,126.23398884759598,113.58015918135266,20447.5,35282.7,-14835.2,6448.84,-13874,-6.861779993,2276032.1794056026,17.99642260894887,2059766.1407958935,340203.9702524353,27.335420616073836,1548705.7013246883,4220049.226879997,706403.5927168508,3180257.0868073045,1338332.0640358864,15.228156460372698,1853147,451896,2305043,-777169,-6.145019341
FY2009,24106914.473074175,1.0631410318451273,14705697.558496986,16.276892047815437,187.33372685983423,56.55885958,78.5,5137219,91.98473776903273,102.97843234792481,19125.3,31667.1,-12541.8,7810.95,-9260.5,-4.943317018,2584928.9041648335,17.577737430559733,2333461.475914535,436536.6861492266,28.316164513104102,1750807.9210545742,4045527.7993249577,762243.2096197426,3040758.711930629,1695393.5506337902,26.679588436456193,2041569,448817,2490386,-680407,-4.626825741
FY2010,24652815.951258734,2.2645016590335354,16507053.35027136,12.249373309962742,196.9815435593241,63.18307623,83.8,5777234,99.99999999999983,99.99999999999983,19680.1,31133,-11452.9,8904.87,-3946.43,-2.003451658,2634781.974676433,15.961552427121223,2352511.362386793,411420.30981809297,-5.753554541,1781572.9609094511,3734244.821322849,630819.2422847177,2855244.977441968,1802364.6950033293,6.309517004447129,2386042,613441,2999483,-929061,-5.62826678
FY2011,25442796.766372222,3.204424259992722,19731030.411379207,19.530905926676787,230.77228551320712,71.91509172,85.5,6695194,124.00843526258257,123.65957220011326,25368.6,35795.8,-10427.2,11200.9,214,0.092732106,2886970.8755738745,14.631627519609475,2549570.256,447265.73558884114,8.712604826581604,1948559.6810098109,3412392.568,565729.4910053645,2642382.1028656447,2017811.1160182916,11.953542011349949,2900784,506103,3406887,-1194409,-6.053454762
FY2012,26256028.416670837,3.196313903,22344639.14,13.24618467102907,250.38815707269612,79.82922601,89.24,7641795,141.01702058700718,128.01218732234184,24718.1,40369.5,-15651.4,13186.58,-4658,-1.860311628,3389455.3921257043,15.168986938293338,3007362.0628801417,599263.6166509549,33.983797319506984,2245994.425191482,3538084.5222595157,686363.0931748424,2663827.0408645477,2256650.6027827337,11.836563138562717,3468487,776850,4245337,-1760671,-7.879612596
FY2013,27268548.75214726,3.8563347030563966,25042169.405187108,12.072382335021526,258.88730905806995,85.70508197,96.73,8856364,136.84443884834124,131.58577316657153,24802.3,40156.9,-15354.6,13921.56,-2496,-0.964126055,3751913.0921682552,14.982380445805557,3323691.9953395557,506773.3083,-15.43399362,2524774.029109443,3624603.0459046206,540673.5391796704,2769274.625298894,2569277.5842077974,13.853583759911947,3660434,777096,4437530,-1833864,-7.323103563
FY2014,28238304.19305155,3.5563148215870033,27952815.352717996,11.622978426653363,271.75593381992996,93.09338055,102.86,9966583,141.1165560597918,117.64230386583223,25077.9,41668.1,-16590.2,15837.68,-3130,-1.151768779,4167081.101920639,14.907554209974963,3689087.9593891613,594506.6893,17.31215508416333,2866969.5414601155,3745891.513555706,586472.0226,2931165.852168543,2802934.176054662,9.094252536,4004582,1135918,5140500,-1388719,-4.968082758
FY2015,29314628.49676474,3.8115755689678954,30425879.918414775,8.847282588500738,300.38384755074316,97.30620436,101.29,11282144,95.99919582052654,103.40658754974392,24090,41357,-17267,18719.8,-2815,-0.937134278,4810614.741686182,15.81093054526464,4290332.195,749050.2144390908,25.995254197674612,3235480.330818832,4257588.421777047,741266.9118645135,3213074.7070397516,2978377.8779410706,6.259287263511792,4424747,1113223,5537970,-1456725,-4.787782651
FY2016,30508205,4.071607127366406,32725049,7.556623137,313.93945702225636,100.0860025,104.24,12824853,56.36038658050728,92.22303155201813,21972,41118,-19146,19916.76,-4961,-1.580240995,5214980.964,15.935746846398915,4657149.18,867876,15.863527340405238,3537220.1799999997,4657148.869568406,867876,3537219.869568406,3471785.7462183316,16.566328669428266,4694294,1301473,5995767,-1349323,-4.12321155
